generation,method,max_deg,size_construction,size_search,alpha,build_time,memory,search_time,recall
4,multi-cutcat-tour,983,878,152,1.197265625,0.805687277,0.0,0.002117965,0.9999000000000001
5,multi-cutcat-tour,455,467,148,1.126953125,0.501342452,0.0,0.002102355,0.9997
5,multi-cutcat-tour,471,974,148,1.1513671875,0.822797924,0.0,0.002567345,0.9999000000000001
5,multi-cutcat-tour,983,466,150,1.126953125,0.501295292,0.0,0.002232902,0.9996
5,multi-cutcat-tour,215,366,134,1.1357421875,0.428961299,0.0,0.001093849,0.9991000000000001
5,multi-cutcat-tour,215,367,132,1.1982421875,0.45161634,0.0,0.00114788,0.9993000000000001
5,multi-cutcat-tour,151,466,148,1.2685546875,0.709643831,0.0,0.002941633,0.9999999999999999
5,multi-cutcat-tour,215,178,485,1.1982421875,0.263799708,0.0,0.001954245,0.9999999999999999
6,multi-cutcat-tour,215,366,134,1.1357421875,0.428961299,0.0,0.001093849,0.9991000000000001
6,multi-cutcat-tour,151,466,148,1.2685546875,0.709643831,0.0,0.002941633,0.9999999999999999
6,multi-cutcat-tour,215,178,485,1.1982421875,0.263799708,0.0,0.001954245,0.9999999999999999
6,multi-cutcat-tour,207,467,148,1.189453125,0.560011235,0.0,0.001278147,0.9998000000000001
6,multi-cutcat-tour,215,178,164,1.189453125,0.28402397,0.0,0.00095183,0.9998000000000001
7,multi-cutcat-tour,211,110,197,1.134765625,0.205469374,0.0,0.001152239,0.9994
7,multi-cutcat-tour,215,467,136,1.3232421875,0.757556306,0.0,0.001576171,0.9999999999999999
7,multi-cutcat-tour,215,178,485,1.1982421875,0.263799708,0.0,0.001954245,0.9999999999999999
7,multi-cutcat-tour,215,430,132,1.1982421875,0.503943802,0.0,0.001149624,0.9993000000000001
7,multi-cutcat-tour,215,174,166,1.134765625,0.250836244,0.0,0.001053823,0.9997
8,multi-cutcat-tour,215,174,166,1.134765625,0.250836244,0.0,0.001053823,0.9997
8,multi-cutcat-tour,211,110,197,1.134765625,0.205469374,0.0,0.001152239,0.9994
8,multi-cutcat-tour,209,178,357,1.197265625,0.294059629,0.0,0.001570761,0.9999999999999999
8,multi-cutcat-tour,215,467,136,1.3232421875,0.757556306,0.0,0.001576171,0.9999999999999999
8,multi-cutcat-tour,215,430,132,1.1982421875,0.503943802,0.0,0.001149624,0.9993000000000001
8,multi-cutcat-tour,211,111,133,1.072265625,0.216291078,0.0,0.000985955,0.9981
8,multi-cutcat-tour,195,115,485,1.1982421875,0.214617233,0.0,0.001943867,0.9999999999999999
