trial,generation,method,max_deg,size_construction,size_search,alpha,build_time,memory,search_time,recall
0,10,multi-cutcat-tour,382,114,615,1.138671875,0.155692612,0,0.002476933,1.0
0,10,multi-cutcat-tour,356,178,111,1.232421875,0.283336275,0,0.001347397,1.0
0,10,multi-cutcat-tour,382,723,103,1.0107421875,0.503058599,0,0.00109483,0.9979
0,10,multi-cutcat-tour,380,208,111,1.0390625,0.217907153,0,0.001067428,0.9975999999999999
0,10,multi-cutcat-tour,350,467,183,1.1689453125,0.419773842,0,0.001318542,1.0
0,10,multi-cutcat-tour,124,209,103,1.0537109375,0.215304153,0,0.001025759,0.9963999999999998
0,10,multi-cutcat-tour,310,146,111,1.193359375,0.185918807,0,0.001044064,0.9972999999999999
1,0,single-cutcat-unif,721,357,841,1.78125,1.371486753,0,0.005486444,1.0
1,0,single-cutcat-unif,13,221,745,1.66796875,0.265118108,0,0.002611979,1.0
1,0,single-cutcat-unif,768,394,512,1.033203125,0.33521393,0,0.002383487,1.0
1,0,single-cutcat-unif,816,908,1004,1.7138671875,2.502518515,0,0.005892109,1.0
1,0,single-cutcat-unif,955,1023,679,1.880859375,4.068076677,0,0.005838969,1.0
1,0,single-cutcat-unif,913,447,701,1.6474609375,1.214574133,0,0.004771581,1.0
1,0,single-cutcat-unif,879,448,948,1.724609375,1.26049928,0,0.005751064,1.0
1,0,single-cutcat-unif,218,673,731,1.63671875,2.160995038,0,0.004108047,1.0
1,0,single-cutcat-unif,367,246,537,1.759765625,1.143488199,0,0.00394033,1.0
1,0,single-cutcat-unif,282,297,725,1.3427734375,0.461046391,0,0.003502152,1.0
1,1,single-cutcat-unif,769,391,493,1.0322265625,0.327195943,0,0.002522299,1.0
1,1,single-cutcat-unif,768,394,512,1.033203125,0.33521393,0,0.002383487,1.0
1,1,single-cutcat-unif,13,221,745,1.66796875,0.265118108,0,0.002611979,1.0
1,2,single-cutcat-unif,781,221,489,1.04296875,0.223896996,0,0.002296862,1.0
1,2,single-cutcat-unif,769,391,493,1.0322265625,0.327195943,0,0.002522299,1.0
1,3,single-cutcat-unif,769,391,493,1.0322265625,0.327195943,0,0.002522299,1.0
1,3,single-cutcat-unif,781,221,489,1.04296875,0.223896996,0,0.002296862,1.0
1,4,single-cutcat-unif,517,1073,129,1.66796875,2.434060682,0,0.002396571,1.0
1,4,single-cutcat-unif,13,221,745,1.66796875,0.265118108,0,0.002611979,1.0
1,4,single-cutcat-unif,1,222,744,1.033203125,0.026211686,0,0.0008938,0.010700000000000043
1,4,single-cutcat-unif,13,477,123,1.908203125,0.537802161,0,0.000958002,0.9914000000000001
1,4,single-cutcat-unif,769,391,493,1.0322265625,0.327195943,0,0.002522299,1.0
1,4,single-cutcat-unif,781,221,489,1.04296875,0.223896996,0,0.002296862,1.0
1,5,single-cutcat-unif,517,1073,129,1.66796875,2.434060682,0,0.002396571,1.0
1,5,single-cutcat-unif,1,222,744,1.033203125,0.026211686,0,0.0008938,0.010700000000000043
1,5,single-cutcat-unif,13,477,123,1.908203125,0.537802161,0,0.000958002,0.9914000000000001
1,5,single-cutcat-unif,15,221,745,1.04296875,0.21570571,0,0.002521538,1.0
1,5,single-cutcat-unif,1,186,746,1.033203125,0.030502419,0,0.000906945,0.013499999999999956
1,5,single-cutcat-unif,781,221,489,1.04296875,0.223896996,0,0.002296862,1.0
1,5,single-cutcat-unif,768,394,512,1.033203125,0.33521393,0,0.002383487,1.0
1,6,single-cutcat-unif,13,477,123,1.908203125,0.537802161,0,0.000958002,0.9914000000000001
1,6,single-cutcat-unif,15,221,745,1.04296875,0.21570571,0,0.002521538,1.0
1,6,single-cutcat-unif,781,221,489,1.04296875,0.223896996,0,0.002296862,1.0
1,6,single-cutcat-unif,1,222,744,1.033203125,0.026211686,0,0.0008938,0.010700000000000043
1,7,single-cutcat-unif,1,222,256,1.013671875,0.030182683,0,0.000892888,9.999999999998899e-05
1,7,single-cutcat-unif,1,390,256,1.908203125,0.029596656,0,0.000870987,0.00019999999999997797
1,7,single-cutcat-unif,5,223,779,1.033203125,0.162105384,0,0.002123936,0.9847999999999999
1,7,single-cutcat-unif,1,222,744,1.033203125,0.026211686,0,0.0008938,0.010700000000000043
1,7,single-cutcat-unif,772,369,129,1.04296875,0.325210688,0,0.00122728,0.9992000000000002
1,7,single-cutcat-unif,15,221,745,1.04296875,0.21570571,0,0.002521538,1.0
1,7,single-cutcat-unif,769,198,512,1.158203125,0.218131147,0,0.002267476,1.0
1,7,single-cutcat-unif,256,210,528,1.033203125,0.215385234,0,0.002434623,1.0
