generation,method,max_deg,size_construction,size_search,alpha,build_time,memory,search_time,recall
9,single-cutcat-unif,294,114,128,1.28125,0.202170192,0,0.001362135,1.0
9,single-cutcat-unif,189,111,133,1.2509765625,0.203537205,0,0.001477714,1.0
9,single-cutcat-unif,57,191,133,1.2666015625,0.307115571,0,0.001297824,1.0
9,single-cutcat-unif,441,125,137,1.13671875,0.1617898,0,0.001064112,0.9984000000000001
9,single-cutcat-unif,638,768,156,1.01953125,0.531566296,0,0.001288336,0.9998
10,single-cutcat-unif,599,677,140,1.0126953125,0.489196993,0,0.001167647,0.9996
10,single-cutcat-unif,407,165,140,1.0126953125,0.186968031,0,0.001094368,0.9991
10,single-cutcat-unif,574,626,128,1.03125,0.472261034,0,0.001150505,0.9993000000000001
10,single-cutcat-unif,573,620,133,1.0009765625,0.446442844,0,0.001214406,0.9994
10,single-cutcat-unif,294,114,128,1.28125,0.202170192,0,0.001362135,1.0
10,single-cutcat-unif,441,125,137,1.13671875,0.1617898,0,0.001064112,0.9984000000000001
10,single-cutcat-unif,57,191,133,1.2666015625,0.307115571,0,0.001297824,1.0
10,single-cutcat-unif,313,127,105,1.0166015625,0.154104739,0,0.000918416,0.9961
10,single-cutcat-unif,561,175,196,1.0166015625,0.191376647,0,0.001340585,0.9998
10,single-cutcat-unif,693,111,129,1.0009765625,0.140023127,0,0.001037321,0.9977000000000001
0,multi-cutcat-unif,320,146,959,1.8466796875,0.66946837,0,0.004784616,1.0
0,multi-cutcat-unif,547,437,248,1.69140625,1.18109264,0,0.00279796,1.0
0,multi-cutcat-unif,838,519,328,1.849609375,2.234646975,0,0.003578085,1.0
0,multi-cutcat-unif,228,824,608,1.326171875,1.08192822,0,0.00334269,1.0
0,multi-cutcat-unif,540,711,147,1.84765625,4.313297811,0,0.002694044,1.0
0,multi-cutcat-unif,371,442,208,1.9326171875,2.737374905,0,0.002794043,1.0
0,multi-cutcat-unif,647,721,976,1.1220703125,0.562432518,0,0.003780187,1.0
0,multi-cutcat-unif,492,183,666,1.1337890625,0.213003135,0,0.002871288,1.0
0,multi-cutcat-unif,235,701,1023,1.724609375,2.478623565,0,0.005373729,1.0
0,multi-cutcat-unif,226,728,920,1.97265625,5.711066113,0,0.005396372,1.0
1,multi-cutcat-unif,547,437,248,1.69140625,1.18109264,0,0.00279796,1.0
1,multi-cutcat-unif,557,715,247,1.6875,2.181081276,0,0.002811315,1.0
1,multi-cutcat-unif,492,183,650,1.1357421875,0.210148228,0,0.002659538,1.0
1,multi-cutcat-unif,320,146,959,1.8466796875,0.66946837,0,0.004784616,1.0
1,multi-cutcat-unif,450,599,794,1.224609375,0.718175753,0,0.003854517,1.0
1,multi-cutcat-unif,838,519,328,1.849609375,2.234646975,0,0.003578085,1.0
1,multi-cutcat-unif,228,824,608,1.326171875,1.08192822,0,0.00334269,1.0
1,multi-cutcat-unif,540,711,147,1.84765625,4.313297811,0,0.002694044,1.0
1,multi-cutcat-unif,376,439,210,1.6982421875,1.252743926,0,0.002647596,1.0
1,multi-cutcat-unif,371,442,208,1.9326171875,2.737374905,0,0.002794043,1.0
2,multi-cutcat-unif,492,215,650,1.1357421875,0.245636295,0,0.002669236,1.0
2,multi-cutcat-unif,547,437,248,1.69140625,1.18109264,0,0.00279796,1.0
2,multi-cutcat-unif,320,146,959,1.8466796875,0.66946837,0,0.004784616,1.0
2,multi-cutcat-unif,115,393,177,1.92578125,2.08212121,0,0.001965456,1.0
2,multi-cutcat-unif,540,711,147,1.84765625,4.313297811,0,0.002694044,1.0
2,multi-cutcat-unif,376,439,210,1.6982421875,1.252743926,0,0.002647596,1.0
2,multi-cutcat-unif,226,693,504,1.32421875,0.953778889,0,0.002947372,1.0
2,multi-cutcat-unif,51,439,186,1.6953125,1.061864751,0,0.001540783,1.0
2,multi-cutcat-unif,492,183,650,1.1357421875,0.210148228,0,0.002659538,1.0
2,multi-cutcat-unif,450,599,794,1.224609375,0.718175753,0,0.003854517,1.0
3,multi-cutcat-unif,492,215,650,1.1357421875,0.245636295,0,0.002669236,1.0
3,multi-cutcat-unif,547,437,248,1.69140625,1.18109264,0,0.00279796,1.0
3,multi-cutcat-unif,492,183,650,1.1357421875,0.210148228,0,0.002659538,1.0
3,multi-cutcat-unif,369,407,226,1.6201171875,1.046200224,0,0.00238053,1.0
3,multi-cutcat-unif,115,393,177,1.92578125,2.08212121,0,0.001965456,1.0
3,multi-cutcat-unif,460,599,794,1.197265625,0.519485324,0,0.003311731,1.0
3,multi-cutcat-unif,452,727,219,1.23828125,0.85422186,0,0.002207383,1.0
3,multi-cutcat-unif,322,138,794,1.2216796875,0.27938106,0,0.003515687,1.0
3,multi-cutcat-unif,51,457,209,1.92578125,1.19436695,0,0.001796386,1.0
3,multi-cutcat-unif,226,693,504,1.32421875,0.953778889,0,0.002947372,1.0
4,multi-cutcat-unif,492,215,650,1.1357421875,0.245636295,0,0.002669236,1.0
4,multi-cutcat-unif,547,437,248,1.69140625,1.18109264,0,0.00279796,1.0
4,multi-cutcat-unif,492,183,650,1.1357421875,0.210148228,0,0.002659538,1.0
4,multi-cutcat-unif,369,407,226,1.6201171875,1.046200224,0,0.00238053,1.0
4,multi-cutcat-unif,114,138,101,1.72265625,0.43492242,0,0.001456413,0.9999000000000001
4,multi-cutcat-unif,492,343,650,1.1357421875,0.31658388,0,0.002899674,1.0
4,multi-cutcat-unif,115,393,177,1.92578125,2.08212121,0,0.001965456,1.0
4,multi-cutcat-unif,492,119,330,1.921875,0.488484981,0,0.002782942,1.0
4,multi-cutcat-unif,452,727,219,1.23828125,0.85422186,0,0.002207383,1.0
4,multi-cutcat-unif,322,138,794,1.2216796875,0.27938106,0,0.003515687,1.0
5,multi-cutcat-unif,492,215,650,1.1357421875,0.245636295,0,0.002669236,1.0
5,multi-cutcat-unif,366,343,650,1.1513671875,0.325990066,0,0.002662694,1.0
5,multi-cutcat-unif,492,183,650,1.1357421875,0.210148228,0,0.002659538,1.0
5,multi-cutcat-unif,369,407,226,1.6201171875,1.046200224,0,0.00238053,1.0
5,multi-cutcat-unif,114,138,101,1.72265625,0.43492242,0,0.001456413,0.9999000000000001
5,multi-cutcat-unif,508,183,648,1.1357421875,0.20488259,0,0.002552025,1.0
5,multi-cutcat-unif,115,393,177,1.92578125,2.08212121,0,0.001965456,1.0
5,multi-cutcat-unif,492,119,330,1.921875,0.488484981,0,0.002782942,1.0
5,multi-cutcat-unif,452,727,219,1.23828125,0.85422186,0,0.002207383,1.0
5,multi-cutcat-unif,492,343,650,1.1357421875,0.31658388,0,0.002899674,1.0
6,multi-cutcat-unif,492,215,650,1.1357421875,0.245636295,0,0.002669236,1.0
6,multi-cutcat-unif,366,343,650,1.1513671875,0.325990066,0,0.002662694,1.0
6,multi-cutcat-unif,492,183,650,1.1357421875,0.210148228,0,0.002659538,1.0
6,multi-cutcat-unif,114,138,101,1.72265625,0.43492242,0,0.001456413,0.9999000000000001
6,multi-cutcat-unif,508,183,648,1.1357421875,0.20488259,0,0.002552025,1.0
6,multi-cutcat-unif,492,167,650,1.1396484375,0.193631279,0,0.002668866,1.0
6,multi-cutcat-unif,498,134,106,1.2216796875,0.239850676,0,0.001450903,1.0
6,multi-cutcat-unif,115,393,177,1.92578125,2.08212121,0,0.001965456,1.0
