 | B: 0.434141983, M: 0, S: 0.001436246, R: 0.9949

M: 12, C: 430, S: 157, a: 1.001953125 
 | B: 0.43903548, M: 0, S: 0.001428401, R: 0.9937999999999998

M: 13, C: 421, S: 156, a: 1.0029296875 
 | B: 0.434141983, M: 0, S: 0.001436246, R: 0.9949

M: 12, C: 139, S: 141, a: 1.033203125 
 | B: 0.205837772, M: 0, S: 0.002477636, R: 0.9904999999999999

M: 12, C: 139, S: 141, a: 1.033203125 
 | B: 0.205837772, M: 0, S: 0.002477636, R: 0.9904999999999999

M: 12, C: 139, S: 141, a: 1.033203125 
 | B: 0.205837772, M: 0, S: 0.002477636, R: 0.9904999999999999

M: 12, C: 139, S: 141, a: 1.033203125 
 | B: 0.205837772, M: 0, S: 0.002477636, R: 0.9904999999999999

M: 12, C: 139, S: 141, a: 1.033203125 
 | B: 0.205837772, M: 0, S: 0.002477636, R: 0.9904999999999999

M: 12, C: 139, S: 141, a: 1.033203125 
 | B: 0.205837772, M: 0, S: 0.002477636, R: 0.9904999999999999

M: 8, C: 101, S: 550, a: 1.0078125 
 | B: 0.144979873, M: 0, S: 0.001514313, R: 0.9983999999999998

M: 8, C: 230, S: 131, a: 1.60546875 
 | B: 0.315833746, M: 0, S: 0.000672902, R: 0.9702

M: 8, C: 230, S: 131, a: 1.60546875 
 | B: 0.315833746, M: 0, S: 0.000672902, R: 0.9702

M: 8, C: 230, S: 131, a: 1.60546875 
 | B: 0.315833746, M: 0, S: 0.000672902, R: 0.9702

M: 8, C: 101, S: 550, a: 1.0078125 
 | B: 0.144979873, M: 0, S: 0.001514313, R: 0.9983999999999998

M: 10, C: 101, S: 426, a: 1.0966796875 
 | B: 0.191930378, M: 0, S: 0.001347619, R: 0.9994999999999999

M: 8, C: 101, S: 550, a: 1.0078125 
 | B: 0.144979873, M: 0, S: 0.001514313, R: 0.9983999999999998

M: 8, C: 101, S: 550, a: 1.0078125 
 | B: 0.144979873, M: 0, S: 0.001514313, R: 0.9983999999999998

M: 15, C: 622, S: 232, a: 1.556640625 
 | B: 0.787454161, M: 0, S: 0.001229234, R: 0.9997

M: 15, C: 622, S: 232, a: 1.556640625 
 | B: 0.787454161, M: 0, S: 0.001229234, R: 0.9997

M: 15, C: 622, S: 232, a: 1.556640625 
 | B: 0.787454161, M: 0, S: 0.001229234, R: 0.9997

M: 1, C: 102, S: 335, a: 1.2646484375 
 | B: 0.029392275, M: 0, S: 0.001773183, R: 0.005

M: 13, C: 101, S: 112, a: 1.0400390625 
 | B: 0.159977304, M: 0, S: 0.000693762, R: 0.9819

M: 13, C: 101, S: 112, a: 1.0400390625 
 | B: 0.159977304, M: 0, S: 0.000693762, R: 0.9819

M: 13, C: 101, S: 112, a: 1.0400390625 
 | B: 0.159977304, M: 0, S: 0.000693762, R: 0.9819

M: 13, C: 101, S: 112, a: 1.0400390625 
 | B: 0.159977304, M: 0, S: 0.000693762, R: 0.9819

M: 8, C: 101, S: 550, a: 1.0078125 
 | B: 0.144979873, M: 0, S: 0.001514313, R: 0.9983999999999998

M: 5, C: 101, S: 574, a: 1.2607421875 
 | B: 0.137073421, M: 0, S: 0.001347568, R: 0.9733999999999999

